ID,問題,難易度,解答,別答,意味,同音異義語用
I0416,隣の【ジンダ】味噌,◆２,糂粏,,"👉となりのじんだみそ。
他人のものは何でもよく見えることのたとえ。〈故事俗信ことわざ大辞典〉
★「糂粏味噌」は、こうじと糠と塩とをまぜてならしたもの。酢または酒を加えて食べる。また、糠味噌のことをもいう。
＊『随筆･安斎随筆-六』",ジンダ
I0417,胴殻を【タラ】かす,◆２,誑,,"👉どうがらをたらかす。
人を誘惑して本心を失わせる。色じかけでだます。〈故事俗信ことわざ大辞典〉
＊『洒落本･色深猍睡夢-下』",タラ
I0418,【チソウ】終わらば油断すな,◆２,馳走,,"👉ちそうおわらばゆだんすな。
人がもてなしてくれる裏には、何か求めることがあっての事だから、もてなされたあとは十分に気を付けろということ。〈新明解故事ことわざ辞典〉
＊『諺語大辞典』",チソウ
I0419,近くて見えぬは【マツゲ】,◆２,睫,睫毛,"👉ちかくてみえぬはまつげ。
他人の事はよく分かるが、自分の事はよく分からないたとえ。〈漢字ペディア〉
★目は、遠くは見えるが近くのまつげは見えない意から。
＊『韓非子-喩老』",マツゲ
I0420,米の飯より【オボ】し召し,◆２,思,,"👉こめのめしよりおぼしめし。
贈り物はその中身よりも、それを贈ってくれた人の心持ちがうれしい。〈故事俗信ことわざ大辞典〉
★白米の飯もありがたいが、それをくれた人の気持ちがいっそううれしい意。
＊不明",オボ
I0421,【ノミ】の夫婦,◆２,蚤,,"👉のみのふうふ。
妻が夫より大柄な夫婦のこと。〈漢字ペディア〉
★ノミは雌のほうが雄より大きいことから。
＊『古今俚諺類聚』",ノミ
I0422,手酌五合、【タボ】一升,◆２,髱,,"👉てじゃくごごう、たぼいっしょう。
酒は、一人で手酌で飲むと五合しか飲めないが、女性が酌をしてくれると一升でも飲んでしまうということ。〈新明解故事ことわざ辞典〉
★「手酌」は、自分で自分の杯に酒を注ぐこと。
★「髱」は、日本髪の後方に張り出た部分。転じて、若い女性。
＊『日本俚諺大全』",タボ
I0423,鉄中の【ソウソウ】,◆２,錚錚,,"👉てっちゅうのそうそう。
凡人のなかで、少しすぐれた者のたとえ。〈漢字ペディア〉
★「錚錚」は、もともと金属の発する澄んだ音色の意で、転じて、人物などがりっぱなさま。
＊『後漢書-劉盆子伝』",ソウソウ
I0424,天に跼り地に【ヌキアシ】す,◆２,蹐,,"👉てんにせぐくまりちにぬきあしす。
恐れおののいてびくびくすること。ひどく恐れて身の置き所のないこと。また、世の中を恐れ、隠れるようにして生きているさま。〈新明解故事ことわざ辞典〉
★「跼る」は、身を屈める。
★「蹐す」は、抜き足差し足で歩く。
★天は高いのに頭がつかえはせぬかと身を屈め、地面は堅いのに突き抜けはしないかと心配してそっと歩くという意から。
＊『詩経-小雅･正月』",ヌキアシ
I0425,【トリモチ】で馬を刺す,◆２,鳥黐,黐,"👉とりもちでうまをさす。
方法が間違っていること。やっても無駄で、できるはずがないことのたとえ。〈新明解故事ことわざ辞典〉
★鳥を捕まえる鳥もちで大きな馬を捕まえることなどできない意から。
＊『諺叢』",トリモチ
I0426,【ナタ】を貸して山を伐られる,◆２,鉈,屶,"👉なたをかしてやまをきられる。
人のためを思ってしたことが、かえって自分の損害を招くたとえ。〈漢字ペディア〉
★鉈を貸してやったら、その鉈で自分の山の木を伐(ｷ)られてしまったということから。
＊『日本俚諺大全』",ナタ
I0427,夏座敷と【カレイ】は縁側がよい,◆２,鰈,王余魚,"👉なつざしきとかれいはえんがわがよい。
夏は暑いので、部屋の中より縁側が過ごしやすく、鰈もヒレに近い縁側が味がいいということ。〈新明解故事ことわざ辞典〉
★「縁側」は、座敷の外側の板敷。また、魚のヒレの付け根の骨の周辺の肉。ここはその両者を掛けている。
＊『譬喩尽-三』",カレイ
I0428,【ニオ】の浮き巣,◆２,鳰,,"👉におのうきす。
不安定なことのたとえ。人生の浮き沈みなどをいう。〈漢字ペディア〉
★「鳰」は、水鳥で、カイツブリのこと。
★沼や池にすむニオはアシの間に巣を作るが、それが水に浮いているように見えることから。
＊『頼政集-上』",ニオ
I0429,蠹【ツイバ】みて梁柱を剖く,◆２,啄,啅,"👉とついばみてりょうちゅうをさく。
災いは小さいうちに取り除くべきだというたとえ。〈新明解故事ことわざ辞典〉
★「蠹」は、キクイムシ。
★小さなキクイムシが少しずつ木を食って、そのうちついに梁(ﾊﾘ)や柱まで食い破ってしまうという意から。
＊『淮南子-人間訓』",ツイバ
I0430,【ニベ】もない,◆２,鮸膠,鰾膠,"👉にべもない。
そっけなくて、人情味がないこと。冷淡なようす。〈新明解故事ことわざ辞典〉
★「鮸膠･鰾膠」は、ニベという魚の浮き袋から作るにかわで、粘着力が強い。
＊『おぼろ夜〈斎藤緑雨〉』",ニベ
I0431,【ナマコ】を藁でつなぐ,◆２,海鼠,,"👉なまこをわらでつなぐ。
制御･束縛の自在なこと、しだいに減少すること、また、たちまち閉口することのたとえ。〈故事俗信ことわざ大辞典〉
★海鼠を藁でくくると縮小するという俗説による。
＊『俚言集覧』",ナマコ
I0432,【ネイゲン】は忠に似たり,◆２,佞言,,"👉ねいげんはちゅうににたり。
へつらいの言葉はいかにも忠義めいて聞こえるから、注意して聞かなければならないということ。〈新明解故事ことわざ辞典〉
★「佞言」は、おもねりへつらう言葉。
＊『宋史-李沆伝』",ネイゲン
I0433,【ノウチュウ】の錐,◆２,囊中,嚢中,"👉のうちゅうのきり。
賢者が多くの人のなかから、その才能を現すことのたとえ。〈漢字ペディア〉
★ふくろの中の錐は、その尖端(ｾﾝﾀﾝ)がふくろを破って突き出ることから。
＊『史記-平原君伝』",ノウチュウ
I0434,鑿に【カンナ】の働きは無し,◆２,鉋,,"👉のみにかんなのはたらきはなし。
どんなにすぐれた道具であっても、物にはそれぞれの機能があるので、本来の用途以外には役に立たないということ。〈新明解故事ことわざ辞典〉
＊『譬喩尽-四』",カンナ
I0435,出ずる日【ツボ】む花,◆２,蕾,,"👉いずるひつぼむはな。
前途洋々、盛んなさまのたとえ。〈故事俗信ことわざ大辞典〉
★朝日が昇り、花はつぼみを持つ意。
＊『幸若･信太』",ツボ
I0436,【ハナ】から和尚はない,◆２,端,,"👉はなからおしょうはない。
物事には順序があって、一足飛びには進めないこと。〈新明解故事ことわざ辞典〉
★はじめから和尚になった者はいないことから。
＊不明",ハナ
I0437,【ヒスイ】は羽を以て自ら害わる,◆２,翡翠,翡翆,"👉ひすいははねをもってみずからそこなわる。
長所が、かえって害を招くもとになることのたとえ。〈新明解故事ことわざ辞典〉
★「翡翠」は、かわせみ。水辺にすみ、背や尾が青く美しい小鳥。
★かわせみは美しい羽のために、人に捕らえられるという意から。
●〈平成20年度･第1回出題,大問㈨,小問６〉
＊『浮世草子･梅若丸一代記-四･一』",ヒスイ
I0438,【ヒッケン】を新たにする,◆２,筆硯,,"👉ひっけんをあらたにする。
文章や詩の構想･構成などを全面的に変更して書き改めること。〈新明解故事ことわざ辞典〉
★「筆硯」は、筆とすずり。転じて、文章。また、文章を書くこと。
＊『計画〈平出修〉』",ヒッケン
I0439,旱魃に【キキン】なし,◆２,飢饉,饑饉,"👉かんばつにききんなし。
雨の多い年には収穫の全くないこともあるが、旱魃には多少の収穫がある。大雨より旱魃の方がましである。〈故事俗信ことわざ大辞典〉
＊『諺語大辞典』",キキン
I0440,【ヒナ】に都あり,◆２,鄙,俚,"👉ひなにみやこあり。
田舎にも都会のように賑やかな所、優美な点があるということ。〈新明解故事ことわざ辞典〉
★「鄙･俚」は、都から遠く離れた所。田舎。
＊『俚言集覧』",ヒナ
I0441,【ヒョウタン】から駒が出る,◆２,瓢簞,瓢箪,"👉ひょうたんからこまがでる。
あり得ないことが実現するたとえ。また、冗談で言ったことが実際に起こってしまうたとえ。〈漢字ペディア〉
★「駒」は、ウマのこと。
★ヒョウタンから馬が飛びだす意。
＊『堪忍袋』",ヒョウタン
I0442,【ヒョウフウ】は朝を終えず、驟雨は日を終えず,◆２,飄風,飆風,"👉ひょうふうはちょうをおえず、しゅううはひをおえず。
自然の変化が長続きしないように、不自然なことや生き方などは長続きしないということ。〈新明解故事ことわざ辞典〉
★「飄風･飆風」は、つむじ風。暴風。
★「驟雨」は、にわか雨。はげしい雨。
★つむじ風も朝の間中吹き続けることはなく、はげしいにわか雨も一日中降り続けることはないということから。
＊『老子-二三』",ヒョウフウ
